path,size_bytes,file_count
./dashboard/frontend/node_modules/ajv/dist,548864,3
./dashboard/frontend/node_modules/cmdk/dist,94208,10
./dashboard/frontend/node_modules/bidi-js/dist,118784,4
./dashboard/frontend/node_modules/react-style-singleton/dist,102400,25
./dashboard/frontend/node_modules/@rolldown/plugin-babel/dist,20480,2
./dashboard/frontend/node_modules/@emnapi/core/dist,1978368,11
./dashboard/frontend/node_modules/@emnapi/runtime/dist,462848,13
./dashboard/frontend/node_modules/@emnapi/wasi-threads/dist,241664,11
./dashboard/frontend/node_modules/@rolldown/pluginutils/dist,32768,5
./dashboard/frontend/node_modules/@tanstack/virtual-core/dist,360448,18
./dashboard/frontend/node_modules/@tanstack/react-virtual/dist,49152,6
./dashboard/frontend/node_modules/@eslint/config-array/dist,323584,11
./dashboard/frontend/node_modules/@eslint/config-helpers/dist,77824,7
./dashboard/frontend/node_modules/@eslint/core/dist,81920,2
./dashboard/frontend/node_modules/@eslint/object-schema/dist,61440,7
./dashboard/frontend/node_modules/@eslint/plugin-kit/dist,106496,8
./dashboard/frontend/node_modules/@radix-ui/react-scroll-area/dist,208896,6
./dashboard/frontend/node_modules/@radix-ui/react-hover-card/dist,86016,6
./dashboard/frontend/node_modules/@radix-ui/react-dialog/dist,102400,6
./dashboard/frontend/node_modules/@typescript-eslint/project-service/dist,28672,6
./dashboard/frontend/node_modules/@typescript-eslint/tsconfig-utils/dist,24576,6
./dashboard/frontend/node_modules/@typescript-eslint/types/dist,135168,10
./dashboard/frontend/node_modules/@typescript-eslint/typescript-estree/dist,614400,86
./dashboard/frontend/node_modules/@typescript-eslint/utils/dist,421888,78
./dashboard/frontend/node_modules/@typescript-eslint/parser/dist,20480,4
./dashboard/frontend/node_modules/@tailwindcss/vite/dist,12288,2
./dashboard/frontend/node_modules/@tailwindcss/node/dist,147456,8
./dashboard/frontend/node_modules/@typescript-eslint/type-utils/dist,212992,44
./dashboard/frontend/node_modules/@typescript-eslint/scope-manager/dist,1667072,356
./dashboard/frontend/node_modules/@typescript-eslint/eslint-plugin/dist,3399680,456
./dashboard/frontend/node_modules/@typescript-eslint/visitor-keys/dist,32768,6
./dashboard/frontend/node_modules/@tybys/wasm-util/dist,524288,7
./dashboard/frontend/node_modules/@humanwhocodes/retry/dist,61440,6
./dashboard/frontend/node_modules/@humanwhocodes/module-importer/dist,16384,4
./dashboard/frontend/node_modules/@asamuzakjp/css-color/dist,602112,37
./dashboard/frontend/node_modules/@vitejs/plugin-react/dist,36864,3
./dashboard/frontend/node_modules/@csstools/css-parser-algorithms/dist,32768,2
./dashboard/frontend/node_modules/@csstools/css-tokenizer/dist,45056,2
./dashboard/frontend/node_modules/@csstools/css-syntax-patches-for-csstree/dist,86016,2
./dashboard/frontend/node_modules/@csstools/color-helpers/dist,49152,2
./dashboard/frontend/node_modules/@csstools/css-calc/dist,36864,2
