path,depth,file_count,total_bytes,total_loc,newest_mtime,days_stale
.media/cdn,2,84,2276039151,0,2026-04-03,112
.tmp/runs/movies_20260404_080005,3,9,97383004,240,2026-04-04,111
.tmp/runs/anime_20260404_060002,3,7,30773728,301,2026-04-04,111
.media,1,88,2315637478,0,2026-04-03,111
..bfg-report/2026-04-03/21-58-04,3,3,93443,0,2026-04-03,111
..bfg-report/2026-04-03,2,3,93443,0,2026-04-03,111
..bfg-report,1,3,93443,0,2026-04-03,111
.tmp/runs/sports_20260404_100003,3,23,1006821210,438,2026-04-04,110
.tmp/runs/movies_20260405_080006,3,11,113938763,150,2026-04-05,110
.tmp/runs/gaming_20260405_040005,3,2,3992,125,2026-04-05,110
.tmp/runs/anime_20260405_060004,3,11,2223278302,301,2026-04-05,110
.tmp/runs/ai_creators_20260405_023303,3,13,258118319,183,2026-04-05,110
.tmp/runs/sports_20260405_100004,3,23,1088403955,442,2026-04-05,109
.tmp/runs/movies_20260406_080000,3,11,127863388,180,2026-04-06,109
.tmp/runs/gaming_20260406_040005,3,2,2777,92,2026-04-06,109
.tmp/runs/anime_20260406_060005,3,9,176950582,301,2026-04-06,109
.tmp/runs/ai_creators_20260406_023002,3,13,207202259,159,2026-04-06,109
docs/superpowers/specs,3,30,374593,9371,2026-04-06,108
deploy/caddy,2,1,380,0,2026-04-06,108
.tmp/runs/sports_20260406_100005,3,23,610165923,421,2026-04-06,108
.github/ISSUE_TEMPLATE,2,3,690,41,2026-04-06,108
docs/superpowers/plans,3,27,572855,16080,2026-04-11,104
docs/superpowers,2,61,992805,26161,2026-04-11,104
.tmp/runs/gaming_20260411_040005,3,2,2953,97,2026-04-11,104
.tmp/runs/ai_creators_20260411_023003,3,13,280957592,240,2026-04-11,104
.tmp/runs/movies_20260427_080006,3,13,136624929,250,2026-04-27,88
.tmp/runs/gaming_20260427_040517,3,2,2970,101,2026-04-27,88
.tmp/runs/anime_20260427_061320,3,11,124263795,419,2026-04-27,88
.tmp/runs/ai_creators_20260427_023003,3,12,188437100,195,2026-04-27,88
.tmp/runs/sports_20260427_100005,3,23,325278171,487,2026-04-27,87
.tmp/runs/movies_20260428_080005,3,13,140873808,326,2026-04-28,87
.tmp/runs/gaming_20260428_040005,3,2,4912,146,2026-04-28,87
.tmp/runs/anime_20260428_060005,3,5,47520760,359,2026-04-28,87
.tmp/runs/ai_creators_20260428_023005,3,7,51106695,143,2026-04-28,87
SpliceReel/.tmp/cache,3,1,220,1,2026-04-29,86
SpliceReel/.tmp,2,7,2121288,1,2026-04-29,86
SpliceReel/.logs,2,2,703225,0,2026-04-29,86
FrameDrift/.tmp/cache,3,1,191,1,2026-04-29,86
FrameDrift/.tmp,2,11,71972563,37,2026-04-29,86
FrameDrift/.logs,2,2,564576,0,2026-04-29,86
CriticalRush/.tmp/rendered,3,359,4899040386,0,2026-04-29,86
CriticalRush/.tmp/clips,3,68,4680143568,0,2026-04-29,86
CriticalRush/.tmp/cache,3,1,180,1,2026-04-29,86
ClutchWire/.tmp/cache,3,1,181,1,2026-04-28,86
ClutchWire/.tmp,2,7,2341639,1,2026-04-28,86
ClutchWire/.logs,2,2,1036843,0,2026-04-28,86
BlackboxBrief/.tmp/runs,3,114,31937302,492416,2026-04-29,86
BlackboxBrief/.tmp/logs,3,142,17062466,0,2026-04-29,86
BlackboxBrief/.tmp/cache,3,551,6302361,550,2026-04-29,86
BlackboxBrief/.tmp,2,1469,940669381,986256,2026-04-29,86
.tmp/runs/sports_20260428_100004,3,23,436531039,462,2026-04-28,86
.tmp/runs/movies_20260429_080004,3,9,128156343,464,2026-04-29,86
.tmp/runs/gaming_20260429_040005,3,2,2999,99,2026-04-29,86
.tmp/runs/anime_20260429_060004,3,11,90659932,388,2026-04-29,86
.tmp/runs/ai_creators_20260429_023000,3,13,150160415,236,2026-04-29,86
.tmp/logs/splicereel,3,18,519094,0,2026-04-29,86
.tmp/logs/framedrift,3,18,428800,0,2026-04-29,86
.tmp/logs/criticalrush,3,19,520961,0,2026-04-29,86
.tmp/logs/clutchwire,3,18,829164,0,2026-04-28,86
.tmp/logs,2,133,4278967,0,2026-04-29,86
.tmp/locks,2,5,29,0,2026-04-29,86
.backups,1,16,16369661,0,2026-04-28,86
CriticalRush/.logs,2,5,833910,0,2026-04-29,85
genlab-core/runbooks,2,7,12425,104,2026-05-16,68
scripts/tests,2,3,10101,277,2026-05-21,63
genlab-core/tests/video,3,2,3419,78,2026-05-22,63
genlab-core/tests/utils,3,3,8669,239,2026-05-21,63
genlab-core/tests/tools,3,4,12201,311,2026-05-21,63
genlab-core/tests/test_platform,3,2,7318,189,2026-05-21,63
genlab-core/tests/analytics,3,2,3551,94,2026-05-21,63
dashboard/server/middleware,3,2,1080,32,2026-05-21,63
CriticalRush/tools/publishing,3,2,238,8,2026-05-21,63
CriticalRush/tools,2,2,238,8,2026-05-21,63
CriticalRush/tests/orchestration,3,2,4044,123,2026-05-21,63
CriticalRush/scripts,2,2,3558,107,2026-05-21,63
CriticalRush/niches/_template,3,16,20849,726,2026-05-21,63
BlackboxBrief/tests/_legacy,3,4,25691,683,2026-05-21,63
BlackboxBrief/execution/stages,3,1,63,1,2026-05-21,63
